customer_id,region,edad,genero,tipo_contrato,antiguedad_meses,plan,tiene_internet,velocidad_mbps,tiene_tv,tiene_linea_movil,num_servicios,factura_mensual_clp,metodo_pago,dias_mora_hist,reclamos_12m,llamadas_soporte_6m,nps,descuento_activo,meses_sin_reajuste,ingreso_estimado_clp,cambios_plan_12m,mora_90d
CTL-20064,Valparaíso,67.0,Femenino,Mensual,13,Estándar,1,100.0,0,1,2,33262.0,Transferencia,2,0,1,,Sí,20.0,312243.0,2,0
CTL-20065,Metropolitana,38.0,Femenino,Mensual,1,Básico,0,,1,1,2,21225.0,Débito automático,11,0,4,8.2,Sí,,300031.0,0,0
CTL-20066,Biobío,18.0,Masculino,Anual,4,Básico,1,50.0,1,0,2,0.0,WebPay,12,1,2,4.4,No,15.0,745946.0,1,0
CTL-20067,Metropolitana,30.0,Femenino,Anual,3,Básico,1,100.0,0,0,1,16971.0,Débito automático,6,0,0,4.3,No,6.0,477121.0,1,0
CTL-20068,O'Higgins,36.0,Masculino,Mensual,1,Estándar,1,,0,0,1,25070.0,Transferencia,0,3,2,8.5,No,6.0,466998.0,0,0
CTL-20069,Metropolitana,38.0,Femenino,Anual,36,Estándar,1,200.0,0,1,2,35352.0,Débito automático,1,4,1,5.4,Sí,,524830.0,1,0
CTL-20070,Atacama,39.0,Femenino,Anual,88,Premium,1,200.0,1,0,2,42150.0,Cheque,23,1,0,8.0,No,,574221.0,0,0
CTL-20071,O'Higgins,57.0,Femenino,Anual,1,Estándar,1,200.0,1,0,2,32711.0,Transferencia,5,1,1,6.2,No,32.0,,0,0
CTL-20072,Metropolitana,59.0,Masculino,Mensual,4,Premium,1,50.0,1,1,3,52284.0,Efectivo,3,3,7,10.0,No,28.0,729771.0,0,0
CTL-20073,Metropolitana,39.0,Femenino,Mensual,56,Básico,1,1000.0,0,1,2,20653.0,Efectivo,13,1,1,4.0,No,14.0,898940.0,0,0
CTL-20074,O'Higgins,57.0,Masculino,Anual,33,Premium,1,200.0,1,1,3,57569.0,WebPay,1,2,2,7.8,No,17.0,601692.0,0,0
CTL-20075,Araucanía,47.0,No binario,Bianual,15,Estándar,0,,1,0,1,24320.0,Transferencia,#REF!,2,0,3.8,No,5.0,755313.0,2,0
CTL-20076,Araucanía,42.0,Femenino,Anual,120,Básico,1,,0,0,1,15557.0,Efectivo,5,1,3,5.7,Sí,20.0,404943.0,0,0
CTL-20077,O'Higgins,54.0,Masculino,Anual,24,Estándar,1,200.0,1,0,2,33253.0,Transferencia,0,1,3,,No,18.0,252720.0,0,0
CTL-20078,Metropolitana,43.0,Masculino,Bianual,32,Estándar,0,,1,1,2,34190.0,WebPay,6,0,4,3.7,No,18.0,1074147.0,1,0
CTL-20079,Valparaíso,70.0,Femenino,Mensual,30,Básico,1,200.0,0,0,1,18949.0,Débito automático,5,2,2,9.6,No,18.0,640407.0,3,0
CTL-20080,Metropolitana,21.0,Femenino,Anual,8,Básico,1,100.0,1,1,3,22601.0,Transferencia,9,0,2,,No,,737193.0,1,0
CTL-20081,Los Lagos,,Femenino,Anual,19,Estándar,1,200.0,0,1,2,29152.0,Transferencia,13,2,0,4.5,No,14.0,311142.0,2,1
CTL-20082,Maule,40.0,Masculino,Bianual,7,Básico,1,100.0,0,0,1,20939.0,Débito automático,16,2,3,8.1,No,1.0,310998.0,1,0
CTL-20083,Valparaíso,48.0,Femenino,Bianual,20,Básico,1,50.0,1,0,2,24247.0,Débito automático,1,0,1,5.8,Sí,5.0,555886.0,0,0
CTL-20084,Metropolitana,59.0,Masculino,Mensual,1,Premium,1,100.0,0,1,2,43077.0,Débito automático,1,1,2,8.0,No,16.0,526512.0,0,0
CTL-20085,Valparaíso,41.0,Femenino,Mensual,14,Estándar,1,50.0,0,1,2,36326.0,Efectivo,17,2,2,6.1,No,7.0,668180.0,0,0
CTL-20086,Valparaíso,22.0,No binario,Mensual,14,Básico,1,100.0,1,0,2,18896.0,Transferencia,0,2,2,6.4,No,33.0,306860.0,1,0
CTL-20087,Araucanía,53.0,Femenino,Bianual,10,Estándar,1,100.0,0,1,2,29503.0,Cheque,9,1,2,4.3,No,34.0,1245254.0,3,0
CTL-20088,Maule,52.0,Masculino,Anual,3,Premium,1,200.0,1,1,3,58577.0,Débito automático,7,1,2,8.7,No,17.0,247050.0,0,0
CTL-20089,Coquimbo,18.0,Prefiero no decir,Mensual,42,Básico,1,200.0,1,1,3,32278.0,WebPay,8,0,3,7.6,No,8.0,462197.0,0,0
CTL-20090,Valparaíso,41.0,Masculino,Mensual,16,Básico,1,100.0,1,1,3,25867.0,Débito automático,30,0,5,10.0,Sí,6.0,634469.0,0,0
CTL-20091,Metropolitana,19.0,Femenino,Mensual,48,Premium,1,100.0,1,1,3,51576.0,Débito automático,3,1,3,,No,,467737.0,1,0
CTL-20092,Araucanía,32.0,Femenino,Mensual,51,Básico,0,,0,0,1,17860.0,Débito automático,9,0,2,7.9,No,21.0,361593.0,2,0
CTL-20093,O'Higgins,29.0,,Mensual,7,Estándar,0,,0,1,1,30491.0,Efectivo,17,1,4,7.9,No,26.0,398250.0,0,0
CTL-20094,Biobío,53.0,Masculino,Anual,16,Estándar,1,100.0,1,0,2,27568.0,Efectivo,14,3,2,4.0,No,22.0,351775.0,0,1
CTL-20095,O'Higgins,43.0,Masculino,Mensual,36,Estándar,1,100.0,1,1,3,32493.0,Débito automático,6,1,3,5.9,No,14.0,721802.0,3,0
CTL-20096,Biobío,24.0,Femenino,Anual,20,Premium,1,50.0,1,1,3,47036.0,Transferencia,12,2,4,9.2,No,20.0,581414.0,0,0
CTL-20097,Biobío,54.0,Femenino,Mensual,55,Premium,1,1000.0,1,0,2,52142.0,Débito automático,5,0,4,3.4,No,4.0,451144.0,0,0
CTL-20098,Valparaíso,21.0,Femenino,Bianual,24,Premium,1,100.0,1,1,3,54740.0,Efectivo,1,0,3,3.5,Sí,33.0,758925.0,0,0
CTL-20099,Metropolitana,46.0,Masculino,Anual,28,Básico,1,50.0,1,0,2,0.0,Débito automático,1,0,2,6.8,No,3.0,925234.0,0,0
CTL-20100,Metropolitana,30.0,Femenino,Mensual,44,Básico,1,100.0,0,0,1,16161.0,Débito automático,2,2,2,5.7,No,30.0,405466.0,2,0
CTL-20101,Metropolitana,36.0,Femenino,Anual,4,Estándar,1,500.0,0,0,1,28186.0,Débito automático,0,0,4,1.6,No,15.0,236267.0,1,1
CTL-20102,Maule,49.0,Masculino,Mensual,25,Estándar,1,100.0,0,1,2,30187.0,Débito automático,2,2,1,5.8,No,8.0,295453.0,0,1
CTL-20103,Valparaíso,49.0,Masculino,Bianual,3,Estándar,1,200.0,1,0,2,28875.0,Transferencia,2,3,2,5.7,No,29.0,447006.0,0,0
CTL-20104,Biobío,60.0,Masculino,Anual,9,Premium,1,200.0,0,1,2,48105.0,Débito automático,7,3,5,6.9,Sí,27.0,1270184.0,3,0
CTL-20105,Coquimbo,40.0,Femenino,Anual,7,Básico,1,100.0,1,1,3,23823.0,Débito automático,15,3,2,2.5,Sí,24.0,397355.0,0,0
CTL-20106,Metropolitana,46.0,Femenino,Mensual,24,Básico,1,500.0,0,1,2,20901.0,WebPay,7,0,2,4.8,No,,,1,0
CTL-20107,Valparaíso,35.0,Femenino,Mensual,53,Básico,1,50.0,1,0,2,18726.0,Débito automático,16,0,3,7.0,No,22.0,515684.0,0,0
CTL-20108,O'Higgins,44.0,Femenino,Anual,4,Estándar,1,500.0,0,0,1,25234.0,Efectivo,3,0,1,8.4,No,28.0,635779.0,0,1
CTL-20109,Metropolitana,48.0,Masculino,Mensual,41,Estándar,1,200.0,0,0,1,23295.0,Débito automático,0,2,3,6.9,No,12.0,,1,0
CTL-20110,Metropolitana,40.0,Femenino,Anual,5,Básico,1,500.0,1,0,2,23812.0,Transferencia,0,1,3,5.8,No,19.0,671477.0,0,0
CTL-20111,Metropolitana,18.0,Masculino,Mensual,6,Premium,1,50.0,1,0,2,48670.0,Débito automático,22,2,2,3.7,No,20.0,775883.0,0,0
CTL-20112,Metropolitana,46.0,Femenino,Mensual,70,Básico,1,50.0,1,0,2,24679.0,Transferencia,1,0,1,,Sí,19.0,1021218.0,0,0
CTL-20113,Coquimbo,47.0,Masculino,Mensual,1,Básico,0,,1,1,2,22767.0,Cheque,2,4,1,10.0,No,19.0,803361.0,2,0
CTL-20114,O'Higgins,32.0,Masculino,Bianual,7,Básico,1,200.0,1,1,3,30066.0,Débito automático,0,0,4,,No,17.0,520461.0,0,0
CTL-20115,Maule,24.0,Femenino,Bianual,7,Premium,1,,0,1,2,47193.0,Cheque,27,3,1,5.7,No,21.0,200000.0,2,0
CTL-20116,Los Lagos,62.0,Masculino,Mensual,10,Premium,0,,1,1,2,41482.0,Débito automático,21,1,2,7.7,No,3.0,339916.0,0,1
CTL-20117,O'Higgins,48.0,Femenino,Mensual,13,Básico,1,200.0,1,1,3,27220.0,Débito automático,5,3,0,10.0,No,22.0,503635.0,0,0
CTL-20118,Metropolitana,38.0,Prefiero no decir,Mensual,4,Básico,0,,0,1,1,20555.0,WebPay,4,1,2,9.3,No,14.0,625245.0,0,0
CTL-20119,Coquimbo,26.0,Femenino,Mensual,18,Estándar,1,200.0,0,0,1,25390.0,WebPay,1,0,3,5.9,No,4.0,447371.0,0,0
CTL-20120,Biobío,30.0,Masculino,Bianual,15,Estándar,1,200.0,1,1,3,36818.0,Transferencia,14,2,4,6.4,No,31.0,578285.0,0,0
CTL-20121,O'Higgins,60.0,Masculino,Anual,28,Estándar,1,100.0,1,0,2,37770.0,WebPay,5,1,0,2.6,Sí,0.0,885602.0,2,0
CTL-20122,Coquimbo,43.0,Femenino,Bianual,57,Estándar,1,500.0,1,1,3,29473.0,Transferencia,18,0,2,7.4,Sí,,1171803.0,0,0
CTL-20123,Valparaíso,34.0,Masculino,Bianual,10,Estándar,1,200.0,1,1,3,36350.0,WebPay,5,1,1,7.2,No,15.0,,0,0
CTL-20124,Metropolitana,49.0,Femenino,Anual,23,Premium,1,100.0,0,1,2,52270.0,WebPay,0,1,1,5.3,No,15.0,515612.0,1,0
CTL-20125,Metropolitana,30.0,,Anual,13,Estándar,1,500.0,1,0,2,28365.0,WebPay,0,1,3,7.4,No,31.0,1171919.0,1,0
CTL-20126,Valparaíso,63.0,Femenino,Bianual,2,Básico,1,500.0,0,1,2,16730.0,Débito automático,18,1,2,7.0,Sí,8.0,450138.0,0,0
CTL-20127,O'Higgins,60.0,Femenino,Anual,49,Estándar,1,50.0,1,0,2,32956.0,Débito automático,6,0,1,,No,25.0,379035.0,0,1
CTL-20128,Los Lagos,35.0,,Mensual,29,Básico,1,500.0,0,0,1,13370.0,Débito automático,16,2,2,7.3,No,13.0,358463.0,0,0
CTL-20129,Metropolitana,33.0,Femenino,Anual,1,Estándar,1,100.0,1,1,3,43378.0,Débito automático,0,2,3,5.7,No,14.0,744100.0,0,0
CTL-20130,Biobío,18.0,Femenino,Mensual,9,Estándar,1,100.0,1,0,2,34720.0,WebPay,19,0,4,5.4,No,15.0,1690707.0,1,0
CTL-20131,Valparaíso,21.0,Masculino,Bianual,11,Premium,0,,1,0,1,44799.0,WebPay,5,0,2,4.3,No,7.0,278189.0,2,1
CTL-20132,Metropolitana,23.0,Masculino,Mensual,47,Básico,0,,0,1,1,18368.0,Débito automático,3,1,3,6.8,No,12.0,593738.0,0,0
CTL-20133,Metropolitana,43.0,Femenino,Mensual,41,Premium,1,200.0,0,1,2,51501.0,Transferencia,0,0,3,7.5,No,8.0,410122.0,2,0
CTL-20134,Valparaíso,37.0,Femenino,Mensual,15,Estándar,1,500.0,0,1,2,28845.0,Débito automático,error,3,2,3.6,No,33.0,956483.0,0,0
CTL-20135,Antofagasta,23.0,Femenino,Bianual,5,Básico,1,500.0,1,0,2,23112.0,Cheque,5,2,1,9.3,No,32.0,501324.0,2,1
CTL-20136,Valparaíso,38.0,Femenino,Bianual,14,Básico,1,500.0,0,0,1,15009.0,Transferencia,4,1,0,3.5,No,11.0,466742.0,0,0
CTL-20137,Biobío,49.0,Femenino,Anual,47,Básico,1,1000.0,0,1,2,16707.0,Efectivo,8,2,1,8.2,No,8.0,608152.0,0,0
CTL-20138,Araucanía,49.0,Femenino,Mensual,17,Premium,1,500.0,0,1,2,53314.0,Transferencia,2,2,2,6.2,Sí,,838288.0,2,0
CTL-20139,Valparaíso,18.0,Femenino,Mensual,4,Básico,1,100.0,1,0,2,26833.0,Débito automático,23,0,2,6.6,No,25.0,920164.0,0,1
CTL-20140,Atacama,40.0,Masculino,Mensual,2,Básico,1,50.0,1,1,3,20512.0,Débito automático,1,1,2,4.8,Sí,18.0,266266.0,0,0
CTL-20141,Antofagasta,,Masculino,Bianual,12,Básico,1,200.0,1,1,3,34484.0,Transferencia,29,0,2,10.0,Sí,30.0,257507.0,2,0
CTL-20142,Metropolitana,54.0,Femenino,Bianual,5,Estándar,1,50.0,0,0,1,27772.0,Transferencia,8,1,5,5.9,Sí,,687156.0,2,1
CTL-20143,Biobío,52.0,Femenino,Bianual,39,Estándar,1,500.0,0,1,2,29994.0,WebPay,17,1,1,8.5,No,15.0,569201.0,2,0
CTL-20144,Valparaíso,29.0,Masculino,Anual,10,Básico,0,,1,0,1,16072.0,Débito automático,12,2,2,5.1,Sí,4.0,356188.0,0,0
CTL-20145,Metropolitana,31.0,,Bianual,59,Premium,1,50.0,1,0,2,47234.0,Débito automático,2,1,0,10.0,Sí,13.0,618864.0,0,0
CTL-20146,Metropolitana,35.0,Masculino,Mensual,27,Premium,0,,0,1,1,44728.0,Efectivo,12,1,3,7.0,No,,611517.0,1,0
CTL-20147,Maule,18.0,Masculino,Mensual,15,Básico,1,200.0,0,1,2,21077.0,Transferencia,0,1,2,9.5,No,,289437.0,0,0
CTL-20148,Biobío,46.0,Femenino,Bianual,27,Estándar,1,200.0,1,1,3,39460.0,WebPay,0,0,4,4.3,No,5.0,546762.0,2,0
CTL-20149,Metropolitana,38.0,Masculino,Mensual,10,Estándar,1,200.0,1,1,3,39943.0,Cheque,6,0,2,4.0,No,19.0,706687.0,0,0
CTL-20150,Metropolitana,55.0,Femenino,Anual,5,Premium,1,100.0,0,1,2,45621.0,WebPay,34,2,4,5.0,Sí,,508583.0,1,0
CTL-20151,Coquimbo,26.0,Femenino,Anual,94,Estándar,1,100.0,1,1,3,35830.0,Débito automático,8,3,3,8.1,Sí,4.0,,2,0
CTL-20152,Metropolitana,33.0,No binario,Mensual,24,Estándar,1,200.0,0,1,2,29943.0,Débito automático,1,4,1,4.7,Sí,,1694299.0,0,0
CTL-20153,Metropolitana,20.0,Masculino,Mensual,1,Estándar,1,200.0,1,0,2,31899.0,WebPay,17,5,2,5.0,No,34.0,392121.0,0,0
CTL-20154,Biobío,27.0,Femenino,Mensual,11,Premium,0,,1,1,2,47234.0,Efectivo,9,1,4,,No,,510715.0,1,1
CTL-20155,Atacama,25.0,No binario,Anual,5,Estándar,1,100.0,1,0,2,32157.0,Efectivo,18,5,1,,No,12.0,235161.0,0,1
CTL-20156,Metropolitana,55.0,Masculino,Mensual,9,Premium,1,100.0,0,0,1,41001.0,Débito automático,10,0,3,8.1,Sí,30.0,899583.0,0,0
CTL-20157,Maule,32.0,Masculino,Mensual,2,Básico,1,100.0,1,0,2,20519.0,Débito automático,0,2,1,5.3,No,15.0,593044.0,0,0
CTL-20158,O'Higgins,43.0,Femenino,Anual,8,Premium,1,500.0,1,0,2,48526.0,Transferencia,4,0,4,7.9,Sí,26.0,1087717.0,0,0
CTL-20159,Metropolitana,36.0,Masculino,Mensual,33,Premium,1,100.0,0,1,2,49895.0,WebPay,2,1,5,5.5,Sí,26.0,978693.0,0,0
CTL-20160,Araucanía,24.0,No binario,Mensual,49,Premium,1,1000.0,0,0,1,43559.0,Transferencia,3,0,0,9.8,Sí,33.0,898979.0,1,0
CTL-20161,Valparaíso,39.0,Femenino,Mensual,12,Básico,1,100.0,0,0,1,18440.0,Efectivo,3,1,3,7.5,Sí,,495507.0,0,0
CTL-20162,Maule,50.0,Masculino,Mensual,21,Básico,1,,1,0,2,21852.0,Efectivo,23,2,1,4.7,No,23.0,680994.0,0,0
CTL-20163,Maule,25.0,Masculino,Anual,2,Premium,1,200.0,1,0,2,45371.0,Transferencia,1,0,0,6.9,Sí,22.0,1623187.0,0,0
CTL-20164,Biobío,53.0,Masculino,Bianual,3,Premium,1,200.0,1,1,3,55971.0,Transferencia,3,2,1,6.4,Sí,14.0,591592.0,0,0
CTL-20165,Metropolitana,30.0,Masculino,Mensual,23,Básico,1,100.0,1,0,2,20663.0,WebPay,20,4,4,7.1,Sí,22.0,1275480.0,0,0
CTL-20166,Los Lagos,35.0,Femenino,Bianual,52,Estándar,1,100.0,1,0,2,29155.0,Transferencia,1,0,2,5.6,No,,228474.0,1,0
CTL-20167,Valparaíso,49.0,Femenino,Mensual,3,Básico,0,,0,0,1,15094.0,Débito automático,1,1,4,8.0,No,12.0,838936.0,1,0
CTL-20168,Metropolitana,32.0,Femenino,Anual,16,Básico,1,200.0,1,1,3,31428.0,Débito automático,11,0,4,5.6,No,33.0,527559.0,0,0
CTL-20169,Metropolitana,42.0,Masculino,Bianual,99,Básico,1,100.0,1,0,2,25541.0,Débito automático,4,2,2,9.8,No,1.0,721889.0,1,0
